name,system,score,NonSecreted.prob,T1SE.prob,T2SE.prob,T3SE.prob,T4SE.prob,T6SE.prob,length
WP_010395943.1,VI,0.5629,0.377,0.0321,0.002,0.0097,0.0162,0.5629,67
WP_010398811.1,VI,0.6212,0.2768,0.0443,0.0025,0.0402,0.0149,0.6212,67
WP_034753464.1,VI,0.5214,0.002,0.0134,0.0012,0.4522,0.0099,0.5214,79
WP_034759763.1,VI,0.476,0.0061,0.0581,0.0015,0.0296,0.4288,0.476,61
WP_034779593.1,VI,0.9996,0.0002,1e-04,0.0,1e-04,0.0,0.9996,163
WP_034779740.1,II,0.7878,0.1046,0.0671,0.7878,0.0032,0.0349,0.0024,218
WP_034780355.1,II,0.9251,0.0047,0.0443,0.9251,0.0109,0.0071,0.0079,843
WP_034780449.1,VI,0.4653,0.4086,0.0154,0.0264,0.0116,0.0727,0.4653,149
WP_034781896.1,VI,0.9287,0.016,0.004,1e-04,0.0488,0.0023,0.9287,75
WP_034782027.1,II,0.6141,0.2806,0.0513,0.6141,0.0102,0.0353,0.0085,252
WP_034782953.1,VI,0.4844,0.4726,0.0059,0.0005,0.0013,0.0353,0.4844,230
WP_034783962.1,VI,0.7087,0.2649,0.0033,0.0004,0.0208,0.0019,0.7087,180
WP_034784293.1,II,0.6404,0.0577,0.079,0.6404,0.083,0.1342,0.0057,271
WP_034784363.1,VI,0.4726,0.2942,0.018,0.0122,0.2026,0.0004,0.4726,309
WP_034784423.1,VI,0.4756,0.4414,0.0335,0.0052,0.0266,0.0178,0.4756,191
WP_034784897.1,VI,0.4765,0.4487,0.0446,0.0039,0.0186,0.0077,0.4765,191
WP_034785488.1,II,0.7157,0.1525,0.0016,0.7157,0.0197,0.0062,0.1043,261
WP_034786491.1,VI,0.6877,0.0551,0.0082,0.0011,0.1693,0.0786,0.6877,146
WP_034787851.1,I,0.5192,0.1104,0.5192,0.0236,0.3126,0.0168,0.0175,470
WP_034788054.1,VI,0.5231,0.4633,0.0116,0.0005,0.0009,0.0005,0.5231,89
WP_035826041.1,VI,0.6075,0.304,0.0456,0.0031,0.0374,0.0024,0.6075,238
WP_052140322.1,VI,0.4117,0.244,0.0031,0.0018,0.3019,0.0375,0.4117,172
WP_052140476.1,II,0.4077,0.178,0.1778,0.4077,0.0084,0.2192,0.0089,198
WP_052140504.1,VI,0.8399,0.0618,0.0302,0.0007,0.0587,0.0086,0.8399,159
WP_070254715.1,II,0.4631,0.387,0.0325,0.4631,0.0123,0.0276,0.0774,199
WP_070254752.1,II,0.5344,0.4049,0.0119,0.5344,0.0041,0.0245,0.0203,717
WP_070257900.1,VI,0.4907,0.3783,0.0098,0.061,0.0463,0.0139,0.4907,228
WP_070259248.1,VI,0.5694,0.1478,0.0267,0.0084,0.0168,0.2309,0.5694,119
WP_070278622.1,VI,0.8519,0.0211,0.015,0.0004,0.0137,0.0979,0.8519,188
WP_070281141.1,VI,0.6803,0.1377,0.0987,0.0055,0.0272,0.0505,0.6803,120
WP_070281252.1,VI,0.6382,0.2743,0.0182,0.0028,0.0613,0.0052,0.6382,201
WP_070281654.1,II,0.8943,0.017,0.0535,0.8943,0.0131,0.02,0.002,326
WP_070281890.1,VI,0.5406,0.0588,0.0202,0.0012,0.3279,0.0512,0.5406,524
WP_080753605.1,II,0.9593,0.0062,0.0279,0.9593,0.0023,0.0029,0.0016,311
WP_092605669.1,VI,0.5044,0.4798,0.0086,0.0047,0.0008,0.0018,0.5044,503
WP_092608033.1,II,0.6544,0.1506,0.1185,0.6544,0.0185,0.0539,0.0042,201
WP_092608179.1,VI,0.6257,0.1452,0.0023,0.1363,0.0165,0.0739,0.6257,325
WP_092610907.1,II,0.7584,0.1786,0.0048,0.7584,0.0103,0.0241,0.0238,647
WP_092612155.1,VI,0.6359,0.0599,0.0169,0.003,0.2802,0.004,0.6359,414
WP_099387977.1,VI,0.9896,0.0029,0.0022,1e-04,0.0006,0.0047,0.9896,194
WP_099389453.1,II,0.3139,0.2157,0.0081,0.3139,0.1742,0.2771,0.011,316
WP_099393658.1,VI,0.4916,0.1198,0.0161,0.0021,0.3497,0.0207,0.4916,217
WP_099394051.1,VI,0.9954,0.0002,0.0033,0.0004,0.0008,0.0,0.9954,401
WP_143450383.1,II,0.9364,0.0341,0.0049,0.9364,0.0016,0.0034,0.0196,333
WP_151091694.1,VI,0.7754,0.096,0.0077,0.0149,0.0016,0.1043,0.7754,537
WP_151091736.1,VI,0.6021,0.2192,0.0092,0.0008,0.1649,0.0038,0.6021,257
WP_151091987.1,II,0.9153,0.0278,0.0115,0.9153,0.0061,0.0034,0.0359,686
WP_151092027.1,II,0.8598,0.0795,0.0076,0.8598,0.0289,0.0148,0.0094,374
WP_151092123.1,II,0.8317,0.125,0.0023,0.8317,0.015,0.0181,0.0079,303
WP_151092159.1,II,0.8421,0.1115,0.0087,0.8421,0.0112,0.0253,0.0011,329
WP_151092197.1,II,0.9422,0.029,0.0174,0.9422,0.0047,0.0021,0.0044,499
WP_151092234.1,VI,0.4681,0.3058,0.0029,0.0006,0.2046,0.0179,0.4681,201
WP_151092265.1,II,0.5715,0.2202,0.0522,0.5715,0.0027,0.0266,0.1268,759
WP_151092352.1,II,0.7047,0.0227,0.0793,0.7047,0.0075,0.004,0.1817,335
WP_151092354.1,VI,0.272,0.2595,0.0438,0.1233,0.2363,0.0651,0.272,145
WP_151092397.1,II,0.5126,0.2585,0.0858,0.5126,0.0125,0.1272,0.0035,212
WP_151092411.1,II,0.4351,0.076,0.1636,0.4351,0.1873,0.0121,0.1258,482
WP_151092415.1,II,0.5106,0.002,0.1092,0.5106,0.0077,0.0037,0.3667,1036
WP_151092439.1,II,0.9438,0.0124,0.03,0.9438,0.0045,0.0017,0.0075,1054
WP_151092444.1,II,0.3156,0.2798,0.0335,0.3156,0.0267,0.2568,0.0877,209
WP_151092459.1,II,0.4974,0.3732,0.0358,0.4974,0.0546,0.024,0.015,107
WP_151092507.1,VI,0.6518,0.2058,0.0115,0.0013,0.0556,0.074,0.6518,374
WP_151092510.1,VI,0.5049,0.4728,0.0036,0.0019,0.0025,0.0143,0.5049,227
WP_151092514.1,VI,0.5187,0.3036,0.0017,0.003,0.0604,0.1125,0.5187,269
WP_151092542.1,I,0.5303,0.0235,0.5303,0.0048,0.0193,0.1359,0.2862,73
WP_151092546.1,VI,0.8819,0.0975,0.0064,1e-04,0.0102,0.0038,0.8819,70
WP_151092574.1,VI,0.743,0.1483,0.0146,0.0006,0.0252,0.0683,0.743,158
WP_151092613.1,II,0.5214,0.0112,0.0781,0.5214,0.0802,0.0031,0.306,825
WP_151092619.1,II,0.7456,0.2146,0.0064,0.7456,0.0035,0.0293,0.0007,474
WP_151092690.1,VI,0.6568,0.251,0.0022,0.0028,0.0167,0.0706,0.6568,1231
WP_151092756.1,II,0.7122,0.0178,0.0473,0.7122,0.002,0.041,0.1797,384
WP_151092812.1,II,0.5598,0.3955,0.0122,0.5598,0.0025,0.0223,0.0077,1145
WP_151092814.1,II,0.5106,0.391,0.0029,0.5106,0.0277,0.0321,0.0357,409
WP_151092815.1,II,0.7165,0.1608,0.0169,0.7165,0.0025,0.0364,0.067,356
WP_151092900.1,II,0.5719,0.3383,0.0045,0.5719,0.019,0.0249,0.0414,275
WP_151092941.1,II,0.8317,0.0502,0.0532,0.8317,0.0105,0.0279,0.0266,452
WP_151092977.1,II,0.5743,0.0597,0.197,0.5743,0.0071,0.0044,0.1576,651
WP_151092988.1,II,0.5065,0.2743,0.0127,0.5065,0.0283,0.0348,0.1435,331
WP_151092990.1,VI,0.3005,0.2832,0.004,0.2292,0.1632,0.0199,0.3005,287
WP_151092992.1,VI,0.9978,0.0008,0.0006,0.0,0.0007,0.0,0.9978,931
WP_151092994.1,VI,0.9998,0.0,1e-04,0.0,1e-04,0.0,0.9998,763
WP_151092998.1,VI,0.7623,0.1958,0.0341,0.001,0.0057,0.0011,0.7623,88
WP_151093024.1,II,0.6427,0.2715,0.0119,0.6427,0.0097,0.0383,0.0259,542
WP_151093103.1,II,0.4579,0.3136,0.0015,0.4579,0.0482,0.1779,0.0008,320
WP_151093123.1,VI,0.6518,0.1487,0.0044,0.0243,0.0032,0.1676,0.6518,359
WP_151093145.1,VI,0.5416,0.058,0.0083,0.0013,0.3851,0.0057,0.5416,249
WP_151093193.1,VI,0.7672,0.1276,0.0036,0.0073,0.0763,0.0179,0.7672,246
WP_151093280.1,II,0.9306,0.0074,0.0499,0.9306,0.0042,0.0044,0.0035,997
WP_151093286.1,II,0.9411,0.0178,0.0294,0.9411,0.0047,0.0014,0.0056,1050
WP_151093288.1,II,0.792,0.1055,0.0341,0.792,0.0148,0.0502,0.0034,252
WP_151093324.1,VI,0.657,0.2926,0.0017,1e-04,0.0094,0.0391,0.657,127
WP_151093352.1,VI,0.6477,0.1058,0.0058,0.0006,0.0699,0.1702,0.6477,202
WP_151093360.1,VI,0.5172,0.0011,0.1715,0.0073,0.3029,1e-04,0.5172,684
WP_151093378.1,VI,0.9813,0.0087,0.0027,0.0002,0.0062,0.001,0.9813,135
WP_151093380.1,VI,0.9979,1e-04,0.0017,1e-04,1e-04,1e-04,0.9979,150
WP_151093382.1,VI,0.8483,0.0306,0.0102,0.0013,0.1005,0.0091,0.8483,142
WP_151093388.1,VI,0.9975,1e-04,0.0009,1e-04,0.0014,0.0,0.9975,489
WP_151093390.1,I,0.6739,0.0004,0.6739,0.0085,0.09,1e-04,0.2271,530
WP_151093392.1,VI,0.5963,0.0003,0.233,0.0126,0.1578,1e-04,0.5963,93
WP_151093394.1,VI,0.6816,0.0006,0.1466,0.0188,0.1522,1e-04,0.6816,235
WP_151093396.1,VI,0.9387,0.0113,0.016,0.0024,0.0311,0.0004,0.9387,220
WP_151093398.1,VI,0.9146,0.0006,0.0119,0.0028,0.07,0.0,0.9146,284
