name,system,score,NonSecreted.prob,T1SE.prob,T2SE.prob,T3SE.prob,T4SE.prob,T6SE.prob,length
lcl|NC_002516.2_prot_NP_064727.1_7,II,0.585,0.2617,0.0032,0.585,0.0057,0.1116,0.0329,568
lcl|NC_002516.2_prot_NP_248702.1_12,III,0.4841,0.3328,0.0019,0.0005,0.4841,0.0985,0.0823,88
lcl|NC_002516.2_prot_NP_248704.1_14,III,0.9402,0.0544,0.0003,0.0003,0.9402,0.0035,0.0013,90
lcl|NC_002516.2_prot_NP_248716.1_26,II,0.5539,0.1339,0.0066,0.5539,0.0092,0.2774,0.019,328
lcl|NC_002516.2_prot_NP_248734.1_46,III,0.9997,0.0,1e-04,1e-04,0.9997,0.0002,0.0,457
lcl|NC_002516.2_prot_NP_248739.1_51,II,0.7288,0.1742,0.0019,0.7288,0.024,0.0076,0.0635,553
lcl|NC_002516.2_prot_NP_248742.1_54,III,0.9981,0.0011,1e-04,1e-04,0.9981,0.0005,1e-04,142
lcl|NC_002516.2_prot_NP_248754.1_65,III,0.8744,0.1066,0.0019,0.0067,0.8744,0.0054,0.005,327
lcl|NC_002516.2_prot_NP_248775.1_86,VI,0.9983,0.0015,1e-04,0.0,1e-04,0.0,0.9983,162
lcl|NC_002516.2_prot_NP_248781.1_92,VI,0.9963,0.003,0.0006,0.0,1e-04,0.0,0.9963,643
lcl|NC_002516.2_prot_NP_248782.1_93,III,0.894,0.0111,0.0015,0.0004,0.894,0.0868,0.0063,94
lcl|NC_002516.2_prot_NP_248783.1_94,VI,0.998,0.0004,0.0014,1e-04,0.0,1e-04,0.998,430
lcl|NC_002516.2_prot_NP_248785.1_96,VI,0.9971,0.0017,0.0011,0.0,0.0,0.0,0.9971,741
lcl|NC_002516.2_prot_NP_248786.1_97,VI,0.8928,0.051,0.0331,0.0028,0.0199,0.0003,0.8928,149
lcl|NC_002516.2_prot_NP_248787.1_98,VI,0.8445,0.0905,0.0023,0.0006,0.0577,0.0045,0.8445,399
lcl|NC_002516.2_prot_NP_248789.1_100,VI,0.9995,0.0002,0.0002,0.0,0.0,0.0,0.9995,386
lcl|NC_002516.2_prot_NP_248790.1_101,VI,0.566,0.2104,0.049,0.0055,0.1664,0.0026,0.566,306
lcl|NC_002516.2_prot_YP_008719730.1_105,III,0.834,0.0498,0.0007,0.0008,0.834,0.1118,0.0029,212
lcl|NC_002516.2_prot_NP_248812.1_123,VI,0.9408,0.0,0.0448,0.0013,0.0129,1e-04,0.9408,136
lcl|NC_002516.2_prot_NP_248825.1_136,III,0.5188,0.0625,0.0052,0.0002,0.5188,0.3081,0.1051,46
lcl|NC_002516.2_prot_NP_248860.1_170,III,0.7835,0.1404,0.0026,0.0006,0.7835,0.0686,0.0042,126
lcl|NC_002516.2_prot_NP_248861.1_171,III,0.4215,0.349,0.002,0.0018,0.4215,0.2028,0.0228,180
lcl|NC_002516.2_prot_NP_248901.1_211,III,0.9301,0.0577,0.0015,0.0002,0.9301,0.003,0.0074,99
lcl|NC_002516.2_prot_NP_248903.1_213,III,0.5857,0.3797,0.0079,0.0126,0.5857,0.0043,0.01,268
lcl|NC_002516.2_prot_NP_248942.1_252,III,0.8443,0.1339,0.0006,0.0004,0.8443,0.0076,0.0132,213
lcl|NC_002516.2_prot_NP_248947.1_257,VI,0.9377,0.0023,0.0453,0.0006,0.0116,0.0025,0.9377,310
lcl|NC_002516.2_prot_NP_248950.1_260,III,0.6864,0.1541,0.0044,0.0018,0.6864,0.068,0.0854,480
lcl|NC_002516.2_prot_NP_248951.1_261,VI,0.9994,0.0,1e-04,1e-04,0.0003,0.0,0.9994,716
lcl|NC_002516.2_prot_NP_248953.1_263,VI,0.9968,0.0018,0.001,1e-04,0.0002,0.0,0.9968,1019
lcl|NC_002516.2_prot_NP_248954.1_264,VI,0.9992,0.0002,0.0002,1e-04,0.0003,0.0,0.9992,172
lcl|NC_002516.2_prot_NP_248958.1_267,III,0.7136,0.2739,0.0006,0.0013,0.7136,0.007,0.0036,399
lcl|NC_002516.2_prot_NP_249002.1_312,II,0.6945,0.0171,0.1498,0.6945,0.105,0.0032,0.0303,184
lcl|NC_002516.2_prot_NP_249019.1_329,II,0.6883,0.1349,0.0113,0.6883,0.0078,0.1522,0.0055,647
lcl|NC_002516.2_prot_NP_249038.1_348,II,0.5048,0.4543,0.0038,0.5048,0.0055,0.0196,0.0119,383
lcl|NC_002516.2_prot_NP_249052.1_362,II,0.4962,0.4363,0.0116,0.4962,0.0238,0.0072,0.025,577
lcl|NC_002516.2_prot_NP_249075.1_385,III,0.9801,0.0124,0.0008,0.0003,0.9801,0.0014,0.0049,85
lcl|NC_002516.2_prot_NP_249109.1_419,III,0.9926,0.0002,0.0002,1e-04,0.9926,0.0021,0.0048,471
lcl|NC_002516.2_prot_NP_249159.1_470,II,0.5666,0.0357,0.0055,0.5666,0.2773,0.0239,0.091,316
lcl|NC_002516.2_prot_NP_249172.1_483,III,0.7196,0.0429,0.0016,0.0002,0.7196,0.1764,0.0593,147
lcl|NC_002516.2_prot_NP_249188.1_499,II,0.7195,0.1624,0.0031,0.7195,0.0075,0.0041,0.1033,333
lcl|NC_002516.2_prot_NP_249189.1_500,II,0.7004,0.1821,0.0035,0.7004,0.0133,0.0145,0.0861,335
lcl|NC_002516.2_prot_NP_249196.1_507,III,0.9884,0.004,0.0025,0.0004,0.9884,0.0044,0.0003,76
lcl|NC_002516.2_prot_NP_249223.1_534,III,0.4577,0.0733,0.0005,0.0002,0.4577,0.4561,0.0122,168
lcl|NC_002516.2_prot_NP_249226.1_537,III,0.6259,0.3542,0.0011,0.0015,0.6259,0.012,0.0053,184
