# gene name           KO     thrshld  score   E-value KO definition
#-------------------- ------ ------- ------ --------- ---------------------
* T6CP010989          K11901  135.03  213.8   1.7e-66 type VI secretion system protein ImpB
  T6CP010989          K11900  523.37   58.3     4e-19 type VI secretion system protein ImpC
  T6CP010989          K14297  114.10   14.1   7.1e-06 nuclear pore complex protein Nup98-Nup96
  T6CP010989          K15476  173.70   12.6   5.1e-05 VPS inhibitor protein A
* T6CP010990          K11900  523.37  703.5  1.5e-214 type VI secretion system protein ImpC
  T6CP010990          K11899  570.50  531.1  1.7e-162 type VI secretion system protein ImpD
* T6CP010991          K11903   91.43  168.7   1.4e-52 type VI secretion system secreted protein Hcp
  T6CP010991          K06887  130.23   38.0   1.2e-12 uncharacterized protein
* T6CP010992          K11897   78.17  139.4   7.4e-44 type VI secretion system protein ImpF
  T6CP010992          K11919  130.80   64.7   4.8e-21 type VI secretion system lysozyme-related protein
  T6CP010992          K11905   81.43   59.3   2.8e-19 type VI secretion system protein
  T6CP010992          K21637  135.57   23.5   2.2e-08 anti-adapter protein IraD
  T6CP010992          K21530  199.10   15.7   7.1e-06 Escherichia phage baseplate wedge protein
* T6CP010993          K11896  136.07  499.9  9.3e-153 type VI secretion system protein ImpG
* T6CP010994          K11895   54.60  227.2   3.5e-70 type VI secretion system protein ImpH
* T6CP010995          K11891   75.47  881.9  1.1e-267 type VI secretion system protein ImpL
  T6CP010995          K12210 1491.43  124.5   2.4e-39 intracellular multiplication protein IcmF
  T6CP010995          K12065   97.47   24.9   5.8e-09 conjugal transfer pilus assembly protein TraB
  T6CP010995          K07401   40.70    9.5   0.00078 selenoprotein W-related protein
  T6CP011377          K16191  248.10  157.8     6e-49 peptidoglycan-binding protein ArfA
* T6CP011377          K03286  116.70  146.1   1.3e-45 OmpA-OmpF porin, OOP family
  T6CP011377          K02557  145.60  122.3     2e-38 chemotaxis protein MotB
  T6CP011377          K03640  146.93  111.0   5.6e-35 peptidoglycan-associated lipoprotein
  T6CP011377          K21218  168.37  101.9   2.4e-32 sodium-type flagellar protein MotY
  T6CP011377          K01681 1305.97   64.2     4e-21 aconitate hydratase [EC:4.2.1.3]
  T6CP011377          K11892   83.50   52.0   5.2e-17 type VI secretion system protein ImpK
  T6CP011377          K12216  257.17   45.6   4.1e-15 intracellular multiplication protein IcmN
  T6CP011377          K11893  104.37   30.6   5.3e-11 type VI secretion system protein ImpJ
  T6CP011377          K02275  215.73   29.4   3.8e-10 cytochrome c oxidase subunit II [EC:7.1.1.9]
  T6CP011377          K04065   51.07   21.3   1.8e-07 hyperosmotically inducible periplasmic protein
  T6CP011377          K12543  304.73   19.2   3.3e-07 outer membrane protein, adhesin transport system
* T6CP010996          K11907 1028.00 1309.4         0 type VI secretion system protein VasG
  T6CP010996          K03695 1121.03  773.3  4.6e-235 ATP-dependent Clp protease ATP-binding subunit ClpB
  T6CP010996          K03696 1078.60  718.8  9.8e-219 ATP-dependent Clp protease ATP-binding subunit ClpC
  T6CP010996          K03694  921.57  672.0  8.8e-205 ATP-dependent Clp protease ATP-binding subunit ClpA
  T6CP010996          K04086 1143.43  495.9  1.2e-151 ATP-dependent Clp protease ATP-binding subunit ClpL
  T6CP010996          K03697  915.90  307.6   1.3e-94 ATP-dependent Clp protease ATP-binding subunit ClpE
  T6CP010996          K01338  862.73   48.5   3.9e-16 ATP-dependent Lon protease [EC:3.4.21.53]
  T6CP010996          K07478  198.43   45.5   2.7e-15 putative ATPase
  T6CP010996          K22990  436.33   40.3   1.2e-13 torsin-1
  T6CP010996          K07133  110.17   36.7   1.7e-12 uncharacterized protein
  T6CP010996          K04748  188.13   35.8   3.1e-12 nitric oxide reductase NorQ protein
  T6CP010996          K04801  375.17   34.8     6e-12 replication factor C small subunit
  T6CP010996          K14575  855.80   32.8   1.9e-11 AAA family ATPase
  T6CP010996          K22999  407.13   32.0   4.8e-11 torsin-2A
  T6CP010996          K02404  175.67   31.7   5.4e-11 flagellar biosynthesis protein FlhF
  T6CP010996          K14572  238.97   27.2   2.4e-10 midasin
  T6CP010996          K04076  433.80   26.4   1.5e-09 ATP-dependent Lon protease [EC:3.4.21.53]
  T6CP010996          K03924  104.03   24.4   6.9e-09 MoxR-like ATPase [EC:3.6.3.-]
  T6CP010996          K10756  285.17   23.6   1.5e-08 replication factor C subunit 3/5
  T6CP010996          K13339  533.87   23.4   1.3e-08 peroxin-6
  T6CP010996          K10755  434.17   23.2   2.1e-08 replication factor C subunit 2/4
  T6CP010996          K13338  546.13   22.7   1.7e-08 peroxin-1
  T6CP010996          K21405  482.33   22.0   4.4e-08 sigma-54 dependent transcriptional regulator, acetoin dehydrogenase operon transcriptional activator AcoR
  T6CP010996          K07505  178.53   21.5     8e-08 regulatory protein RepA
  T6CP010996          K02315  144.93   21.4   9.3e-08 DNA replication protein DnaC
  T6CP010996          K04800  287.37   19.8     2e-07 replication factor C large subunit
  T6CP010996          K14571  823.40   19.6   1.5e-07 ribosome biogenesis ATPase
  T6CP010996          K03798  749.50   19.6   2.1e-07 cell division protease FtsH [EC:3.4.24.-]
  T6CP010996          K02450  362.17   19.3   2.8e-07 general secretion pathway protein A
